Sex,Industry of Employment,Region,Value
Males,Other Services,Moonee Ponds,98
Females,Other Services,Moonee Ponds,111
Males,Inadequately described and not stated,Moonee Ponds,157
Females,Inadequately described and not stated,Moonee Ponds,111
Males,"Agriculture, Forestry and Fishing",Carlton,16
Females,"Agriculture, Forestry and Fishing",Carlton,7
Males,Mining,Carlton,13
Females,Mining,Carlton,3
Males,Manufacturing,Carlton,113
Females,Manufacturing,Carlton,62
Males,"Electricity, Gas, Water and Waste Services",Carlton,36
Females,"Electricity, Gas, Water and Waste Services",Carlton,22
Males,Construction,Carlton,138
Females,Construction,Carlton,35
Males,Wholesale Trade,Carlton,55
Females,Wholesale Trade,Carlton,48
Males,Retail Trade,Carlton,235
Females,Retail Trade,Carlton,342
Males,Accommodation and Food Services,Carlton,478
Females,Accommodation and Food Services,Carlton,480
Males,"Transport, Postal and Warehousing",Carlton,113
Females,"Transport, Postal and Warehousing",Carlton,39
Males,Information Media and Telecommunications,Carlton,124
Females,Information Media and Telecommunications,Carlton,93
Males,Financial and Insurance Services,Carlton,145
Females,Financial and Insurance Services,Carlton,137
Males,"Rental, Hiring and Real Estate Services",Carlton,60
Females,"Rental, Hiring and Real Estate Services",Carlton,47
Males,"Professional, Scientific and Technical Services",Carlton,601
Females,"Professional, Scientific and Technical Services",Carlton,489
Males,Administrative and Support Services,Carlton,84
Females,Administrative and Support Services,Carlton,92
Males,Public Administration and Safety,Carlton,130
Females,Public Administration and Safety,Carlton,151
Males,Education and Training,Carlton,366
Females,Education and Training,Carlton,431
Males,Health Care and Social Assistance,Carlton,221
Females,Health Care and Social Assistance,Carlton,484
Males,Arts and Recreation Services,Carlton,103
Females,Arts and Recreation Services,Carlton,106
Males,Other Services,Carlton,56
Females,Other Services,Carlton,93
Males,Inadequately described and not stated,Carlton,137
Females,Inadequately described and not stated,Carlton,134
Males,"Agriculture, Forestry and Fishing",Docklands,11
Females,"Agriculture, Forestry and Fishing",Docklands,7
Males,Mining,Docklands,14
Females,Mining,Docklands,9
Males,Manufacturing,Docklands,137
Females,Manufacturing,Docklands,68
Males,"Electricity, Gas, Water and Waste Services",Docklands,39
Females,"Electricity, Gas, Water and Waste Services",Docklands,20
Males,Construction,Docklands,159
Females,Construction,Docklands,47
Males,Wholesale Trade,Docklands,125
Females,Wholesale Trade,Docklands,66
Males,Retail Trade,Docklands,207
Females,Retail Trade,Docklands,243
Males,Accommodation and Food Services,Docklands,295
Females,Accommodation and Food Services,Docklands,287
Males,"Transport, Postal and Warehousing",Docklands,123
Females,"Transport, Postal and Warehousing",Docklands,68
Males,Information Media and Telecommunications,Docklands,151
Females,Information Media and Telecommunications,Docklands,74
Males,Financial and Insurance Services,Docklands,351
Females,Financial and Insurance Services,Docklands,294
Males,"Rental, Hiring and Real Estate Services",Docklands,76
