Sex,Industry of Employment,Region,Value
Females,"Agriculture, Forestry and Fishing",Flemington Racecourse,0
Males,Mining,Flemington Racecourse,0
Females,Mining,Flemington Racecourse,0
Males,Manufacturing,Flemington Racecourse,0
Females,Manufacturing,Flemington Racecourse,0
Males,"Electricity, Gas, Water and Waste Services",Flemington Racecourse,0
Females,"Electricity, Gas, Water and Waste Services",Flemington Racecourse,0
Males,Construction,Flemington Racecourse,0
Females,Construction,Flemington Racecourse,0
Males,Wholesale Trade,Flemington Racecourse,0
Females,Wholesale Trade,Flemington Racecourse,0
Males,Retail Trade,Flemington Racecourse,6
Females,Retail Trade,Flemington Racecourse,3
Males,Accommodation and Food Services,Flemington Racecourse,5
Females,Accommodation and Food Services,Flemington Racecourse,3
Males,"Transport, Postal and Warehousing",Flemington Racecourse,0
Females,"Transport, Postal and Warehousing",Flemington Racecourse,0
Males,Information Media and Telecommunications,Flemington Racecourse,0
Females,Information Media and Telecommunications,Flemington Racecourse,0
Males,Financial and Insurance Services,Flemington Racecourse,3
Females,Financial and Insurance Services,Flemington Racecourse,0
Males,"Rental, Hiring and Real Estate Services",Flemington Racecourse,0
Females,"Rental, Hiring and Real Estate Services",Flemington Racecourse,0
Males,"Professional, Scientific and Technical Services",Flemington Racecourse,0
Females,"Professional, Scientific and Technical Services",Flemington Racecourse,0
Males,Administrative and Support Services,Flemington Racecourse,0
Females,Administrative and Support Services,Flemington Racecourse,3
Males,Public Administration and Safety,Flemington Racecourse,0
Females,Public Administration and Safety,Flemington Racecourse,0
Males,Education and Training,Flemington Racecourse,0
Females,Education and Training,Flemington Racecourse,3
Males,Health Care and Social Assistance,Flemington Racecourse,0
Females,Health Care and Social Assistance,Flemington Racecourse,0
Males,Arts and Recreation Services,Flemington Racecourse,0
Females,Arts and Recreation Services,Flemington Racecourse,0
Males,Other Services,Flemington Racecourse,0
Females,Other Services,Flemington Racecourse,0
Males,Inadequately described and not stated,Flemington Racecourse,0
Females,Inadequately described and not stated,Flemington Racecourse,0
Males,"Agriculture, Forestry and Fishing",Kensington (Vic.),3
Females,"Agriculture, Forestry and Fishing",Kensington (Vic.),11
Males,Mining,Kensington (Vic.),14
Females,Mining,Kensington (Vic.),7
Males,Manufacturing,Kensington (Vic.),165
Females,Manufacturing,Kensington (Vic.),86
Males,"Electricity, Gas, Water and Waste Services",Kensington (Vic.),51
Females,"Electricity, Gas, Water and Waste Services",Kensington (Vic.),25
Males,Construction,Kensington (Vic.),183
Females,Construction,Kensington (Vic.),40
Males,Wholesale Trade,Kensington (Vic.),83
Females,Wholesale Trade,Kensington (Vic.),54
Males,Retail Trade,Kensington (Vic.),165
Females,Retail Trade,Kensington (Vic.),260
Males,Accommodation and Food Services,Kensington (Vic.),216
Females,Accommodation and Food Services,Kensington (Vic.),171
Males,"Transport, Postal and Warehousing",Kensington (Vic.),167
Females,"Transport, Postal and Warehousing",Kensington (Vic.),90
Males,Information Media and Telecommunications,Kensington (Vic.),132
Females,Information Media and Telecommunications,Kensington (Vic.),99
Males,Financial and Insurance Services,Kensington (Vic.),240
Females,Financial and Insurance Services,Kensington (Vic.),202
Males,"Rental, Hiring and Real Estate Services",Kensington (Vic.),59
Females,"Rental, Hiring and Real Estate Services",Kensington (Vic.),58
Males,"Professional, Scientific and Technical Services",Kensington (Vic.),527
Females,"Professional, Scientific and Technical Services",Kensington (Vic.),437
Males,Administrative and Support Services,Kensington (Vic.),95
Females,Administrative and Support Services,Kensington (Vic.),89
Males,Public Administration and Safety,Kensington (Vic.),190
Females,Public Administration and Safety,Kensington (Vic.),229
Males,Education and Training,Kensington (Vic.),264
Females,Education and Training,Kensington (Vic.),435
Males,Health Care and Social Assistance,Kensington (Vic.),217
Females,Health Care and Social Assistance,Kensington (Vic.),576
Males,Arts and Recreation Services,Kensington (Vic.),138
Females,Arts and Recreation Services,Kensington (Vic.),143
Males,Other Services,Kensington (Vic.),72
Females,Other Services,Kensington (Vic.),90
Males,Inadequately described and not stated,Kensington (Vic.),120
Females,Inadequately described and not stated,Kensington (Vic.),98
Males,"Agriculture, Forestry and Fishing",Melbourne,13
Females,"Agriculture, Forestry and Fishing",Melbourne,11
Males,Mining,Melbourne,18
Females,Mining,Melbourne,9
Males,Manufacturing,Melbourne,218
Females,Manufacturing,Melbourne,157
Males,"Electricity, Gas, Water and Waste Services",Melbourne,73
Females,"Electricity, Gas, Water and Waste Services",Melbourne,41
Males,Construction,Melbourne,233
Females,Construction,Melbourne,78
Males,Wholesale Trade,Melbourne,168
Females,Wholesale Trade,Melbourne,136
Males,Retail Trade,Melbourne,533
Females,Retail Trade,Melbourne,723
Males,Accommodation and Food Services,Melbourne,1917
Females,Accommodation and Food Services,Melbourne,1886
Males,"Transport, Postal and Warehousing",Melbourne,243
Females,"Transport, Postal and Warehousing",Melbourne,110
Males,Information Media and Telecommunications,Melbourne,304
Females,Information Media and Telecommunications,Melbourne,156
Males,Financial and Insurance Services,Melbourne,570
Females,Financial and Insurance Services,Melbourne,447
Males,"Rental, Hiring and Real Estate Services",Melbourne,164
Females,"Rental, Hiring and Real Estate Services",Melbourne,172
Males,"Professional, Scientific and Technical Services",Melbourne,1767
Females,"Professional, Scientific and Technical Services",Melbourne,1051
Males,Administrative and Support Services,Melbourne,347
Females,Administrative and Support Services,Melbourne,310
Males,Public Administration and Safety,Melbourne,222
Females,Public Administration and Safety,Melbourne,223
Males,Education and Training,Melbourne,439
Females,Education and Training,Melbourne,546
Males,Health Care and Social Assistance,Melbourne,309
Females,Health Care and Social Assistance,Melbourne,663
Males,Arts and Recreation Services,Melbourne,206
Females,Arts and Recreation Services,Melbourne,159
Males,Other Services,Melbourne,173
Females,Other Services,Melbourne,256
Males,Inadequately described and not stated,Melbourne,440
Females,Inadequately described and not stated,Melbourne,340
Males,"Agriculture, Forestry and Fishing",North Melbourne,11
Females,"Agriculture, Forestry and Fishing",North Melbourne,6
Males,Mining,North Melbourne,9
Females,Mining,North Melbourne,3
Males,Manufacturing,North Melbourne,211
Females,Manufacturing,North Melbourne,100
Males,"Electricity, Gas, Water and Waste Services",North Melbourne,53
Females,"Electricity, Gas, Water and Waste Services",North Melbourne,37
Males,Construction,North Melbourne,199
Females,Construction,North Melbourne,51
Males,Wholesale Trade,North Melbourne,114
Females,Wholesale Trade,North Melbourne,91
Males,Retail Trade,North Melbourne,325
Females,Retail Trade,North Melbourne,451
Males,Accommodation and Food Services,North Melbourne,651
Females,Accommodation and Food Services,North Melbourne,564
Males,"Transport, Postal and Warehousing",North Melbourne,217
Females,"Transport, Postal and Warehousing",North Melbourne,79
Males,Information Media and Telecommunications,North Melbourne,217
Females,Information Media and Telecommunications,North Melbourne,146
Males,Financial and Insurance Services,North Melbourne,292
Females,Financial and Insurance Services,North Melbourne,246
Males,"Rental, Hiring and Real Estate Services",North Melbourne,71
Females,"Rental, Hiring and Real Estate Services",North Melbourne,66
Males,"Professional, Scientific and Technical Services",North Melbourne,962
Females,"Professional, Scientific and Technical Services",North Melbourne,735
Males,Administrative and Support Services,North Melbourne,174
Females,Administrative and Support Services,North Melbourne,171
Males,Public Administration and Safety,North Melbourne,243
Females,Public Administration and Safety,North Melbourne,257
Males,Education and Training,North Melbourne,456
Females,Education and Training,North Melbourne,599
Males,Health Care and Social Assistance,North Melbourne,335
Females,Health Care and Social Assistance,North Melbourne,871
Males,Arts and Recreation Services,North Melbourne,157
Females,Arts and Recreation Services,North Melbourne,138
Males,Other Services,North Melbourne,111
Females,Other Services,North Melbourne,155
Males,Inadequately described and not stated,North Melbourne,211
Females,Inadequately described and not stated,North Melbourne,169
Males,"Agriculture, Forestry and Fishing",Parkville,10
Females,"Agriculture, Forestry and Fishing",Parkville,4
Males,Mining,Parkville,0
Females,Mining,Parkville,0
Males,Manufacturing,Parkville,33
Females,Manufacturing,Parkville,31
Males,"Electricity, Gas, Water and Waste Services",Parkville,20
Females,"Electricity, Gas, Water and Waste Services",Parkville,7
Males,Construction,Parkville,68
Females,Construction,Parkville,20
Males,Wholesale Trade,Parkville,28
Females,Wholesale Trade,Parkville,30
Males,Retail Trade,Parkville,118
Females,Retail Trade,Parkville,163
Males,Accommodation and Food Services,Parkville,224
Females,Accommodation and Food Services,Parkville,286
Males,"Transport, Postal and Warehousing",Parkville,57
Females,"Transport, Postal and Warehousing",Parkville,20
Males,Information Media and Telecommunications,Parkville,39
Females,Information Media and Telecommunications,Parkville,27
Males,Financial and Insurance Services,Parkville,83
Females,Financial and Insurance Services,Parkville,67
Males,"Rental, Hiring and Real Estate Services",Parkville,35
Females,"Rental, Hiring and Real Estate Services",Parkville,16
Males,"Professional, Scientific and Technical Services",Parkville,248
Females,"Professional, Scientific and Technical Services",Parkville,213
Males,Administrative and Support Services,Parkville,40
Females,Administrative and Support Services,Parkville,40
Males,Public Administration and Safety,Parkville,73
Females,Public Administration and Safety,Parkville,72
Males,Education and Training,Parkville,298
Females,Education and Training,Parkville,344
Males,Health Care and Social Assistance,Parkville,138
Females,Health Care and Social Assistance,Parkville,323
Males,Arts and Recreation Services,Parkville,52
Females,Arts and Recreation Services,Parkville,77
Males,Other Services,Parkville,38
Females,Other Services,Parkville,45
Males,Inadequately described and not stated,Parkville,57
Females,Inadequately described and not stated,Parkville,59
Males,"Agriculture, Forestry and Fishing",South Yarra - West,13
Females,"Agriculture, Forestry and Fishing",South Yarra - West,9
Males,Mining,South Yarra - West,6
Females,Mining,South Yarra - West,3
Males,Manufacturing,South Yarra - West,63
Females,Manufacturing,South Yarra - West,41
Males,"Electricity, Gas, Water and Waste Services",South Yarra - West,10
Females,"Electricity, Gas, Water and Waste Services",South Yarra - West,7
Males,Construction,South Yarra - West,90
Females,Construction,South Yarra - West,23
Males,Wholesale Trade,South Yarra - West,57
Females,Wholesale Trade,South Yarra - West,38
Males,Retail Trade,South Yarra - West,75
Females,Retail Trade,South Yarra - West,165
Males,Accommodation and Food Services,South Yarra - West,98
Females,Accommodation and Food Services,South Yarra - West,92
Males,"Transport, Postal and Warehousing",South Yarra - West,53
Females,"Transport, Postal and Warehousing",South Yarra - West,27
Males,Information Media and Telecommunications,South Yarra - West,85
Females,Information Media and Telecommunications,South Yarra - West,53
Males,Financial and Insurance Services,South Yarra - West,152
Females,Financial and Insurance Services,South Yarra - West,116
Males,"Rental, Hiring and Real Estate Services",South Yarra - West,51
Females,"Rental, Hiring and Real Estate Services",South Yarra - West,41
Males,"Professional, Scientific and Technical Services",South Yarra - West,372
Females,"Professional, Scientific and Technical Services",South Yarra - West,286
Males,Administrative and Support Services,South Yarra - West,57
Females,Administrative and Support Services,South Yarra - West,66
Males,Public Administration and Safety,South Yarra - West,73
Females,Public Administration and Safety,South Yarra - West,77
Males,Education and Training,South Yarra - West,119
Females,Education and Training,South Yarra - West,198
Males,Health Care and Social Assistance,South Yarra - West,154
Females,Health Care and Social Assistance,South Yarra - West,271
Males,Arts and Recreation Services,South Yarra - West,57
Females,Arts and Recreation Services,South Yarra - West,65
Males,Other Services,South Yarra - West,25
Females,Other Services,South Yarra - West,47
