Sex,Age,Region,Value
Females,0 - 4,Kangaroo Flat - Golden Square,608
Males,0 - 4,Maiden Gully,226
Females,0 - 4,Maiden Gully,203
Males,0 - 4,Strathfieldsaye,318
Females,0 - 4,Strathfieldsaye,313
Males,0 - 4,White Hills - Ascot,527
Females,0 - 4,White Hills - Ascot,522
Males,0 - 4,Heathcote - Castlemaine - Kyneton,1239
Females,0 - 4,Heathcote - Castlemaine - Kyneton,1248
Males,0 - 4,Bendigo Region - South,217
Females,0 - 4,Bendigo Region - South,253
Males,0 - 4,Castlemaine,249
Females,0 - 4,Castlemaine,253
Males,0 - 4,Castlemaine Region,170
Females,0 - 4,Castlemaine Region,172
Males,0 - 4,Heathcote,86
Females,0 - 4,Heathcote,101
Males,0 - 4,Kyneton,285
Females,0 - 4,Kyneton,286
Males,0 - 4,Woodend,223
Females,0 - 4,Woodend,193
Males,0 - 4,Loddon - Elmore,286
Females,0 - 4,Loddon - Elmore,289
Males,0 - 4,Bendigo Region - North,137
Females,0 - 4,Bendigo Region - North,118
Males,0 - 4,Loddon,152
Females,0 - 4,Loddon,168
Males,0 - 4,Barwon - West,645
Females,0 - 4,Barwon - West,617
Males,0 - 4,Bannockburn,272
Females,0 - 4,Bannockburn,254
Males,0 - 4,Golden Plains - South,224
Females,0 - 4,Golden Plains - South,215
Males,0 - 4,Winchelsea,153
Females,0 - 4,Winchelsea,150
Males,0 - 4,Geelong,5986
Females,0 - 4,Geelong,5661
Males,0 - 4,Belmont,448
Females,0 - 4,Belmont,407
Males,0 - 4,Corio - Norlane,825
Females,0 - 4,Corio - Norlane,799
Males,0 - 4,Geelong,360
Females,0 - 4,Geelong,336
Males,0 - 4,Geelong West - Hamlyn Heights,633
Females,0 - 4,Geelong West - Hamlyn Heights,649
Males,0 - 4,Grovedale,826
Females,0 - 4,Grovedale,733
Males,0 - 4,Highton,692
Females,0 - 4,Highton,616
Males,0 - 4,Lara,618
Females,0 - 4,Lara,579
