Postcode,active,cases,data_date,Suburb
3802,0,87,30/01/2021,Endeavour hills
3803,0,94,30/01/2021,Hallam
3804,0,13,30/01/2021,Narre warren north
3805,0,193,30/01/2021,Narre warren
3806,0,67,30/01/2021,Berwick
3807,0,19,30/01/2021,Beaconsfield
3808,0,2,30/01/2021,Beaconsfield upper
3809,0,48,30/01/2021,Officer
3810,0,116,30/01/2021,Pakenham
3812,0,5,30/01/2021,Nar nar goon
3813,0,0,30/01/2021,Tynong
3814,0,0,30/01/2021,Garfield
3815,0,1,30/01/2021,Bunyip
3816,0,0,30/01/2021,Labertouche
3818,0,6,30/01/2021,Drouin
3820,0,5,30/01/2021,Warragul
3821,0,2,30/01/2021,Buln buln
3822,0,0,30/01/2021,Darnum
3823,0,3,30/01/2021,Yarragon
3824,0,1,30/01/2021,Trafalgar
3825,0,6,30/01/2021,Moe
3831,0,0,30/01/2021,Neerim south
3832,0,0,30/01/2021,Nayook
3833,0,0,30/01/2021,Noojee
3835,0,0,30/01/2021,Thorpdale
3840,0,13,30/01/2021,Hazelwood north
3842,0,0,30/01/2021,Churchill
3844,0,31,30/01/2021,Traralgon south
3847,0,3,30/01/2021,Rosedale
3850,0,5,30/01/2021,Sale
3851,0,2,30/01/2021,Longford
3854,0,2,30/01/2021,Glengarry
3856,0,3,30/01/2021,Toongabbie
3857,0,0,30/01/2021,Cowwarr
3858,0,0,30/01/2021,Heyfield
3860,0,3,30/01/2021,Maffra
3862,0,4,30/01/2021,Stratford
3865,0,1,30/01/2021,Lindenow
3869,0,0,30/01/2021,Yinnar
3870,0,0,30/01/2021,Boolarra
3871,0,0,30/01/2021,Mirboo north
3873,0,0,30/01/2021,Gormandale
3874,0,0,30/01/2021,Woodside
3875,0,5,30/01/2021,Bairnsdale
3878,0,0,30/01/2021,Eagle point
3880,0,1,30/01/2021,Paynesville
3882,0,0,30/01/2021,Nicholson
3885,0,0,30/01/2021,Bruthen
3887,0,0,30/01/2021,Nowa nowa
3888,0,0,30/01/2021,Orbost
3890,0,0,30/01/2021,Noorinbee
3892,0,0,30/01/2021,Mallacoota
3896,0,0,30/01/2021,Swifts creek
3898,0,0,30/01/2021,Omeo
3903,0,0,30/01/2021,Swan reach
3904,0,0,30/01/2021,Metung
3909,0,0,30/01/2021,Lakes entrance
3910,0,49,30/01/2021,Langwarrin
3911,0,2,30/01/2021,Baxter
3912,0,15,30/01/2021,Somerville
3913,0,2,30/01/2021,Tyabb
3915,0,7,30/01/2021,Hastings
3918,0,3,30/01/2021,Bittern
3919,0,2,30/01/2021,Crib point
3922,0,1,30/01/2021,Cowes
3923,0,0,30/01/2021,Rhyll
3925,0,1,30/01/2021,San remo
3926,0,3,30/01/2021,Balnarring
3927,0,4,30/01/2021,Somers
3930,0,11,30/01/2021,Mount eliza
3931,0,61,30/01/2021,Mornington
3933,0,2,30/01/2021,Moorooduc
3934,0,26,30/01/2021,Mount martha
3936,0,7,30/01/2021,Dromana
3937,0,0,30/01/2021,Red hill
3939,0,10,30/01/2021,Rosebud
3940,0,6,30/01/2021,Capel sound
3941,0,5,30/01/2021,Rye
3943,0,6,30/01/2021,Sorrento
3945,0,0,30/01/2021,Loch
3950,0,5,30/01/2021,Korumburra
3953,0,4,30/01/2021,Leongatha
3954,0,0,30/01/2021,Koonwarra
3956,0,0,30/01/2021,Tarwin lower
3959,0,0,30/01/2021,Fish creek
3960,0,1,30/01/2021,Foster
3962,0,0,30/01/2021,Toora
3966,0,0,30/01/2021,Welshpool
3971,0,0,30/01/2021,Alberton
3975,0,56,30/01/2021,Lynbrook
3976,0,91,30/01/2021,Hampton park
3977,0,305,30/01/2021,Cranbourne
3978,0,118,30/01/2021,Clyde
3980,0,7,30/01/2021,Tooradin
3981,0,1,30/01/2021,Koo wee rup
3984,0,4,30/01/2021,Lang lang
3987,0,0,30/01/2021,Nyora
3988,0,2,30/01/2021,Poowong
3992,0,0,30/01/2021,Dalyston
3995,0,2,30/01/2021,Wonthaggi
3996,0,4,30/01/2021,Inverloch
